|                 start |                  stop |        tstart |         tstop |       dur | rel_tstart |                 manvr |      ra |     dec |    roll |
| 2020:166:11:18:54.511 | 2020:166:12:28:19.086 | 708520803.695 | 708524968.270 |  4164.575 |     94.300 | 2020:166:10:52:09.873 |   3.000 | -69.000 | 107.802 |
| 2020:166:12:55:07.311 | 2020:166:14:22:33.262 | 708526576.495 | 708531822.446 |  5245.950 |     76.875 | 2020:166:12:28:29.849 | 268.000 | -30.000 |  34.429 |
| 2020:166:14:46:13.912 | 2020:166:16:13:59.337 | 708533243.096 | 708538508.521 |  5265.425 |     93.275 | 2020:166:14:22:44.024 | 315.400 | -34.800 |  90.294 |
| 2020:166:16:45:32.512 | 2020:166:17:39:43.812 | 708540401.696 | 708543652.996 |  3251.300 |    104.550 | 2020:166:16:14:10.099 |  44.800 | -10.100 | 132.066 |
| 2020:166:18:04:23.912 | 2020:166:19:00:33.088 | 708545133.096 | 708548502.272 |  3369.175 |     80.975 | 2020:166:17:39:54.575 |  81.000 | -47.000 | 177.758 |
| 2020:166:19:52:58.813 | 2020:167:08:58:20.116 | 708551647.997 | 708598769.300 | 47121.303 |    137.350 | 2020:166:19:00:43.850 | 111.633 |  85.753 | 320.177 |
| 2020:167:09:34:33.116 | 2020:167:15:22:23.142 | 708600942.300 | 708621812.326 | 20870.026 |    139.400 | 2020:167:08:58:30.878 |   5.699 |  -0.297 | 113.750 |
| 2020:167:15:59:28.417 | 2020:167:16:04:38.992 | 708624037.601 | 708624348.176 |   310.575 |     98.400 | 2020:167:15:22:33.905 | 135.000 | -59.000 | 225.373 |
| 2020:167:16:32:49.217 | 2020:168:00:55:14.469 | 708626038.401 | 708656183.653 | 30145.252 |    113.775 | 2020:167:16:04:48.730 | 255.175 | -41.656 | 334.671 |
| 2020:168:01:30:56.719 | 2020:168:01:36:23.694 | 708658325.903 | 708658652.878 |   326.975 |     80.975 | 2020:168:00:55:25.232 | 282.000 | -24.000 |  90.984 |
| 2020:168:02:08:15.319 | 2020:168:12:27:15.172 | 708660564.503 | 708697704.356 | 37139.852 |    118.900 | 2020:168:01:36:34.457 |   5.699 |  -0.297 | 113.750 |
| 2020:168:12:59:44.722 | 2020:168:13:03:57.897 | 708699653.906 | 708699907.081 |   253.175 |    155.800 | 2020:168:12:27:25.934 | 282.000 | -24.000 |  90.900 |
| 2020:168:13:43:24.622 | 2020:168:22:10:29.699 | 708702273.806 | 708732698.883 | 30425.077 |     79.950 | 2020:168:13:04:07.634 | 263.275 | -13.064 | 205.003 |
| 2020:168:22:28:20.824 | 2020:168:22:48:00.599 | 708733770.008 | 708734949.783 |  1179.775 |     78.925 | 2020:168:22:10:40.461 | 262.000 |   6.000 | 186.669 |
| 2020:168:23:40:14.024 | 2020:168:23:59:44.574 | 708738083.208 | 708739253.758 |  1170.550 |     88.150 | 2020:168:22:48:11.361 | 269.000 | -48.300 |   7.318 |
| 2020:169:00:36:07.824 | 2020:169:03:04:03.300 | 708741437.008 | 708750312.484 |  8875.476 |    109.675 | 2020:168:23:59:55.337 |  76.000 | -25.600 | 168.367 |
| 2020:169:03:12:20.425 | 2020:169:03:30:59.725 | 708750809.609 | 708751928.909 |  1119.300 |   9482.276 | 2020:168:23:59:55.337 |  76.000 | -25.600 | 168.367 |
| 2020:169:03:57:01.825 | 2020:169:04:50:00.350 | 708753491.009 | 708756669.534 |  3178.525 |     80.975 | 2020:169:03:31:10.487 |  81.000 | -86.300 | 175.319 |
| 2020:169:05:15:53.225 | 2020:169:09:44:38.526 | 708758222.409 | 708774347.710 | 16125.301 |     91.225 | 2020:169:04:50:10.088 |  81.000 | -27.000 | 174.228 |
